id_vente,id_client,id_produit,quantite,date_achat
406,46,32,3,2024-01-16
407,149,40,5,2024-09-29
408,68,27,3,2024-10-04
409,10,18,1,2025-09-17
410,28,3,4,2025-08-20
411,153,45,5,2025-07-03
412,112,24,4,2025-09-07
413,89,14,5,2025-06-05
414,187,29,3,2024-03-04
415,81,29,5,2025-06-17
416,112,16,5,2025-06-21
417,156,24,1,2024-07-25
418,131,7,2,2024-01-02
419,30,44,1,2025-09-13
420,99,24,4,2025-09-03
421,148,35,3,2023-09-27
422,49,42,3,2025-02-27
423,66,23,5,2024-06-02
424,12,4,3,2025-08-10
425,182,26,2,2024-07-13
426,112,18,2,2025-06-27
427,1,13,5,2024-12-25
428,134,8,5,2024-11-30
429,138,30,4,2023-10-01
430,176,6,5,2024-05-26
431,185,43,1,2024-06-21
432,190,14,1,2024-01-30
433,189,42,1,2024-05-04
434,172,41,2,2024-05-13
435,51,39,3,2024-05-27
436,94,2,4,2025-07-07
437,111,4,5,2025-01-25
438,18,22,4,2025-05-27
439,171,16,2,2023-09-25
440,85,9,5,2025-07-31
441,160,37,5,2024-12-18
442,81,14,2,2025-03-11
443,170,5,3,2023-12-07
444,32,49,5,2025-01-02
445,185,36,3,2025-08-04
446,77,14,2,2024-05-26
447,130,38,4,2024-11-21
448,80,14,5,2025-09-19
449,171,15,3,2024-08-08
450,105,22,5,2024-04-15
451,84,50,3,2023-10-24
452,104,10,5,2025-01-10
453,179,39,5,2025-03-28
454,76,1,5,2024-01-04
455,142,18,4,2024-05-15
456,33,10,5,2024-03-26
457,50,9,3,2024-12-15
458,108,35,4,2023-10-29
459,171,17,1,2024-10-04
460,98,12,3,2025-01-14
461,174,8,3,2024-02-15
462,192,43,1,2025-04-28
463,45,2,4,2023-11-01
464,158,9,5,2025-01-13
465,146,1,3,2024-08-10
466,78,23,1,2024-12-21
467,104,16,5,2024-07-22
468,141,38,4,2024-02-28
469,1,21,3,2025-01-02
470,78,2,5,2023-12-02
471,74,12,5,2024-08-19
472,54,17,2,2025-05-20
473,111,4,1,2025-03-26
474,149,9,5,2024-04-23
475,156,48,4,2024-05-30
476,168,27,2,2024-05-09
477,83,34,5,2024-10-10
478,120,8,5,2025-06-20
479,114,48,4,2023-10-14
480,114,5,2,2024-12-27
481,173,31,2,2024-07-20
482,55,29,1,2025-06-22
483,131,50,5,2024-11-13
484,122,24,1,2024-02-01
485,189,33,2,2024-03-31
486,44,38,1,2024-11-01
487,169,7,4,2025-08-09
488,22,29,3,2024-08-13
489,73,33,4,2025-05-30
490,132,15,2,2024-09-21
491,170,40,4,2024-01-16
492,163,3,2,2023-12-26
493,159,47,4,2025-08-12
494,86,43,5,2024-08-05
495,24,34,5,2024-01-17
496,193,20,4,2024-12-21
497,61,30,1,2024-07-17
498,173,42,2,2024-03-31
499,80,2,5,2024-01-26
500,58,4,2,2025-07-24
501,51,31,5,2023-10-20
502,38,26,3,2025-07-25
503,7,28,4,2024-11-27
504,12,44,5,2025-08-29
505,63,7,4,2024-07-22
506,122,32,3,2025-09-01
507,157,46,2,2024-01-10
508,197,29,4,2023-09-23
509,19,5,5,2025-05-22
510,117,6,3,2023-12-11
511,107,21,5,2024-07-01
512,162,39,3,2025-01-29
513,148,10,3,2024-09-13
514,50,5,5,2024-11-28
515,184,9,4,2025-05-06
516,179,18,2,2024-07-18
517,99,40,2,2024-09-19
518,127,41,3,2024-12-14
519,103,38,5,2024-11-08
520,63,36,3,2025-01-11
521,38,46,2,2025-08-03
522,168,21,3,2025-06-12
523,177,25,3,2024-07-27
524,2,39,2,2025-08-07
525,193,34,4,2024-04-06
526,198,19,3,2024-05-18
527,28,30,4,2024-01-05
528,200,33,3,2023-10-01
529,109,39,5,2024-12-22
530,57,28,3,2024-06-22
531,46,7,3,2024-07-15
532,179,45,1,2024-04-08
533,133,8,5,2024-08-21
534,119,42,5,2025-01-06
535,13,42,4,2023-12-27
536,143,50,4,2024-07-17
537,64,36,3,2024-09-17
538,32,47,2,2024-01-23
539,117,14,3,2024-11-30
540,35,28,1,2025-05-06
541,119,29,3,2023-11-06
542,171,15,1,2025-08-29
543,136,27,3,2023-12-21
544,144,22,4,2025-06-30
545,153,30,3,2023-11-06
546,82,26,4,2024-02-23
547,194,27,2,2024-05-14
548,114,47,2,2023-12-01
549,157,7,5,2024-04-12
550,185,21,3,2024-07-15
551,130,28,5,2023-10-01
552,110,21,3,2023-10-04
553,141,43,2,2024-12-28
554,115,17,1,2023-12-16
555,41,24,5,2024-04-06
556,191,10,5,2024-04-18
557,122,44,2,2024-01-24
558,116,31,2,2025-07-19
559,67,5,1,2024-08-12
560,193,6,5,2025-02-16
561,64,6,2,2025-06-25
562,164,6,2,2025-01-17
563,71,28,1,2024-04-18
564,197,7,1,2024-06-27
565,200,48,4,2024-01-19
566,134,48,3,2024-03-10
567,125,24,4,2024-12-05
568,161,9,1,2025-04-29
569,62,36,2,2023-12-28
570,71,4,1,2025-02-22
571,113,38,5,2024-03-17
572,20,36,2,2025-05-01
573,183,36,4,2024-04-09
574,74,22,4,2025-07-18
575,61,43,4,2024-05-02
576,70,8,2,2024-04-27
577,86,27,3,2024-12-01
578,82,23,3,2025-07-13
579,139,43,3,2025-02-24
580,21,49,1,2024-01-23
581,36,28,1,2023-11-15
582,39,47,5,2024-12-04
583,60,4,2,2024-02-20
584,99,19,5,2024-08-11
585,178,39,1,2024-06-14
586,40,20,2,2024-04-03
587,181,23,4,2025-04-16
588,55,7,2,2025-08-15
589,17,37,1,2023-10-11
590,107,33,4,2024-12-31
591,105,14,4,2025-06-09
592,85,10,2,2024-05-02
593,139,43,3,2025-07-09
594,120,31,1,2025-03-18
595,107,15,1,2025-09-08
596,16,7,3,2025-06-26
597,53,23,5,2023-11-28
598,108,36,5,2023-11-25
599,100,24,1,2023-11-30
600,198,8,3,2025-03-04
601,150,49,3,2023-12-21
602,179,18,4,2024-07-30
603,6,37,5,2023-09-29
604,196,15,5,2023-12-15
605,148,28,4,2024-06-02
606,98,36,2,2024-10-08
607,123,50,5,2023-10-13
608,2,40,4,2024-11-22
609,91,40,3,2025-03-29
610,77,44,2,2024-10-12
611,193,42,1,2024-02-24
612,100,36,3,2023-10-27
613,108,2,2,2025-08-19
614,138,39,4,2024-12-27
615,192,43,3,2024-01-16
616,189,45,2,2024-02-07
617,140,18,1,2024-11-12
618,155,2,3,2024-07-08
619,57,12,3,2025-07-15
620,125,18,5,2025-08-13
621,57,45,2,2024-08-05
622,70,49,2,2024-07-26
623,112,20,5,2024-11-02
624,125,22,4,2025-01-07
625,8,23,4,2023-12-09
626,100,1,5,2025-09-09
627,87,12,3,2024-11-10
628,172,10,1,2025-05-11
629,174,37,4,2024-08-29
630,104,43,1,2024-09-22
631,186,26,2,2024-12-30
632,43,5,2,2025-07-12
633,120,10,4,2024-07-12
634,33,48,3,2025-02-23
635,160,41,2,2024-12-13
636,137,2,1,2025-05-05
637,7,6,3,2024-06-26
638,101,48,4,2023-10-10
639,152,34,2,2024-07-06
640,145,14,4,2023-12-11
641,170,25,3,2024-12-02
642,7,27,3,2024-10-31
643,22,30,3,2025-01-17
644,165,22,5,2025-05-14
645,110,11,5,2024-06-12
646,35,24,1,2024-09-14
647,119,20,3,2024-11-22
648,47,47,3,2023-10-13
649,13,21,2,2024-08-13
650,67,50,1,2025-01-18
651,98,37,1,2024-02-21
652,84,39,4,2025-05-08
653,55,6,3,2025-05-20
654,117,4,2,2024-02-15
655,84,10,4,2024-03-27
656,87,11,5,2024-09-28
657,195,49,3,2025-04-24
658,98,40,1,2025-01-31
659,72,4,3,2025-03-12
660,193,44,3,2024-07-09
661,108,6,5,2025-01-15
662,65,18,2,2025-04-01
663,21,29,2,2024-02-11
664,121,43,2,2023-11-22
665,5,28,4,2025-06-28
666,192,32,2,2023-10-14
667,139,39,4,2025-07-30
668,14,29,5,2023-10-04
669,90,27,3,2025-06-30
670,58,18,4,2024-10-29
671,167,14,5,2023-11-04
672,18,49,4,2024-03-01
673,200,33,5,2023-12-24
674,167,8,2,2024-07-03
675,11,23,2,2025-06-12
676,194,28,5,2024-07-27
677,8,8,1,2024-04-03
678,64,19,5,2025-07-21
679,52,44,4,2025-08-15
680,6,44,5,2025-07-27
681,160,38,3,2024-10-04
682,40,32,1,2023-11-15
683,62,34,5,2025-07-22
684,33,43,1,2024-05-24
685,122,20,1,2024-04-21
686,172,3,5,2024-11-03
687,30,15,5,2024-03-12
688,145,26,2,2024-09-24
689,56,39,5,2024-03-31
690,120,4,5,2024-05-05
691,180,1,2,2024-11-06
692,66,14,2,2024-10-21
693,197,20,3,2023-11-30
694,95,14,5,2024-10-13
695,43,50,4,2025-02-20
696,156,9,1,2023-10-15
697,156,49,2,2024-07-30
698,192,17,5,2025-07-12
699,184,19,4,2024-01-23
700,30,21,1,2023-10-10
701,200,8,5,2023-12-04
702,42,1,4,2024-12-27
703,80,32,1,2023-12-02
704,28,48,4,2024-12-27
705,149,28,2,2024-02-01
706,7,12,5,2024-01-04
707,80,9,4,2024-07-02
708,148,25,4,2024-10-15
709,174,35,5,2024-10-21
710,97,46,1,2025-04-11
711,102,15,5,2025-06-25
712,184,33,4,2024-02-12
713,51,36,3,2024-03-27
714,20,43,1,2024-03-10
715,152,23,4,2023-10-20
716,177,5,3,2024-06-24
717,161,26,1,2024-09-03
718,63,48,2,2024-02-09
719,27,3,5,2025-04-25
720,179,28,1,2024-12-14
721,198,2,1,2024-05-29
722,78,30,4,2023-10-16
723,176,5,3,2023-12-12
724,154,21,1,2025-05-06
725,31,37,5,2024-04-18
726,145,28,1,2025-09-16
727,11,37,1,2023-10-10
728,89,26,4,2024-09-20
729,137,46,1,2024-10-31
730,110,41,3,2024-10-16
731,170,27,4,2024-11-12
732,95,19,2,2024-04-22
733,18,8,2,2024-06-23
734,130,26,4,2024-06-11
735,166,2,3,2023-12-28
736,88,21,4,2024-01-17
737,4,11,4,2025-05-07
738,108,40,4,2025-01-27
739,126,30,4,2023-11-25
740,28,45,1,2024-07-17
741,111,24,5,2025-01-26
742,93,6,2,2025-05-25
743,163,28,3,2024-02-02
744,118,7,1,2023-10-04
745,182,16,2,2025-01-06
746,40,28,5,2025-02-23
747,112,38,4,2024-03-21
748,46,26,5,2024-10-01
749,188,34,2,2025-08-07
750,134,6,2,2023-10-04
751,167,26,1,2025-08-29
752,70,20,1,2024-08-01
753,158,48,3,2024-10-10
754,138,22,4,2025-08-25
755,199,15,5,2025-01-13
756,124,22,4,2024-09-24
757,120,50,5,2024-09-04
758,112,11,4,2025-02-17
759,188,5,2,2025-02-24
760,152,33,2,2024-11-12
761,69,41,4,2024-01-10
762,83,8,3,2024-03-04
763,63,34,2,2025-04-15
764,23,33,3,2025-08-05
765,72,13,2,2023-11-11
766,116,50,1,2023-10-28
767,63,23,1,2024-06-07
768,193,23,4,2024-02-16
769,119,47,5,2025-07-03
770,146,42,1,2025-06-04
771,157,10,2,2025-05-27
772,172,16,2,2025-03-12
773,98,7,1,2024-11-22
774,87,10,1,2025-03-07
775,8,17,5,2025-01-18
776,127,13,1,2025-05-04
777,84,12,4,2024-10-01
778,47,39,5,2023-11-02
779,125,10,1,2024-11-19
780,55,49,2,2024-02-16
781,91,49,1,2025-05-28
782,67,42,4,2024-08-14
783,88,5,4,2025-01-26
784,72,12,2,2024-01-29
785,153,50,5,2023-11-06
786,180,41,2,2025-04-01
787,71,32,1,2024-03-30
788,143,30,2,2024-08-05
789,3,49,5,2023-11-22
790,133,37,3,2025-04-04
791,49,49,2,2024-04-10
792,22,38,5,2024-02-27
793,62,29,3,2024-04-15
794,185,44,5,2024-06-19
795,105,37,5,2024-02-25
796,126,42,3,2024-11-07
797,143,41,2,2024-01-20
798,195,40,3,2024-06-13
799,62,21,2,2023-12-27
800,177,41,5,2024-07-22
801,122,21,2,2025-02-05
802,166,10,4,2025-07-22
803,183,29,3,2024-06-12
804,126,5,3,2025-06-09
805,115,31,1,2025-02-24
806,5,29,5,2025-01-02
807,24,41,5,2023-10-12
808,76,20,2,2025-02-17
809,57,18,4,2024-11-24
810,104,38,5,2025-09-01
811,178,4,4,2024-02-11
812,63,23,1,2024-12-25
813,79,33,3,2024-05-19
814,170,5,4,2023-11-07
815,149,20,5,2025-02-11
816,95,30,3,2025-05-19
817,122,29,4,2024-08-25
818,142,3,4,2024-12-05
819,136,4,2,2025-08-05
820,89,24,3,2024-05-08
821,109,19,4,2024-02-20
822,191,5,2,2025-08-12
823,141,42,5,2024-08-08
824,85,6,4,2024-08-03
825,91,40,2,2025-07-19
826,180,39,2,2025-07-30
827,117,33,3,2024-06-05
828,70,25,2,2024-02-08
829,79,30,4,2023-11-26
830,65,38,1,2024-12-11
831,60,36,5,2024-08-16
832,31,48,4,2023-10-05
833,185,3,4,2023-12-31
834,50,29,5,2025-08-08
835,81,37,5,2025-01-24
836,31,42,2,2025-05-13
837,191,13,4,2025-04-17
838,138,21,2,2025-02-07
839,196,39,3,2024-08-06
840,177,31,2,2024-03-18
841,48,33,3,2025-07-14
842,50,10,1,2023-12-13
843,56,4,4,2023-10-04
844,190,29,3,2024-01-11
845,124,7,1,2024-12-02
846,71,22,5,2023-12-02
847,186,46,2,2025-05-30
848,151,6,1,2023-09-28
849,195,33,3,2024-05-11
850,135,42,4,2024-11-23
851,153,12,5,2024-02-17
852,73,3,5,2025-08-16
853,26,16,1,2024-08-14
854,50,46,1,2023-11-27
855,76,29,2,2025-07-15
856,59,29,5,2025-07-29
857,93,34,5,2024-11-23
858,46,34,2,2025-06-16
859,78,40,4,2023-12-24
860,4,11,2,2023-11-01
861,182,24,3,2024-01-30
862,137,24,3,2024-04-03
863,33,19,1,2024-08-17
864,71,25,2,2024-05-21
865,12,27,2,2025-09-11
866,14,50,1,2025-07-12
867,142,22,4,2024-09-04
868,75,44,2,2024-03-31
869,179,39,5,2023-11-14
870,33,4,2,2024-04-26
871,164,41,4,2024-07-02
872,193,42,2,2024-10-18
873,126,22,5,2025-04-26
874,27,5,3,2024-03-04
875,4,22,3,2024-04-06
876,147,7,4,2024-03-06
877,73,36,4,2025-08-25
878,121,44,5,2024-01-16
879,123,25,3,2024-02-06
880,113,19,3,2025-07-05
881,88,17,3,2023-09-28
882,48,47,3,2024-07-08
883,14,43,5,2025-04-03
884,65,39,4,2024-05-16
885,123,10,4,2024-11-04
886,30,22,1,2024-10-11
887,17,6,4,2025-01-18
888,103,38,3,2024-05-31
889,126,43,2,2023-10-06
890,19,10,3,2023-10-04
891,148,23,3,2025-03-27
892,162,20,4,2025-05-08
893,176,42,1,2025-07-02
894,14,45,5,2025-05-25
895,39,43,2,2024-06-21
896,39,26,2,2023-12-03
897,145,9,1,2024-12-24
898,78,39,3,2025-06-11
899,22,46,5,2025-04-13
900,64,6,5,2024-07-12
901,31,20,5,2024-08-01
902,143,36,4,2023-09-24
903,196,25,3,2023-09-29
904,107,42,2,2025-06-29
905,156,22,2,2024-02-04
906,153,9,3,2025-03-05
907,159,43,2,2024-12-19
908,58,45,4,2025-03-10
909,199,48,5,2024-08-04
910,134,44,2,2024-10-04
911,98,34,4,2025-09-09
912,116,6,5,2025-08-08
913,114,42,3,2025-06-15
914,77,43,3,2025-01-14
915,151,28,4,2023-11-21
916,110,33,4,2024-01-31
917,79,24,4,2024-08-16
918,146,2,2,2025-03-06
919,159,24,3,2025-02-07
920,16,20,2,2024-08-30
921,157,12,2,2025-09-10
922,190,14,5,2024-10-22
923,26,22,4,2023-12-22
924,196,50,2,2024-10-09
925,54,32,5,2023-09-26
926,161,13,1,2023-10-17
927,55,15,5,2025-01-02
928,68,9,1,2025-05-21
929,170,10,1,2025-04-22
930,21,5,1,2023-11-28
